geo_bln,Baden_Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg_Vorpommern,Niedersachsen,Nordrhein_Westfalen,Rheinland_Pfalz,Saarland,Sachsen,Sachsen_Anhalt,Schleswig_Holstein,Thüringen
Baden_Württemberg,0.0,1838.0,21416.0,14937.0,24851.0,23806.0,6839.0,20820.0,1607.0,17829.0,5881.0,22768.0,14105.0,18427.0,15457.0,21996.0
Bayern,1838.0,0.0,23254.0,16775.0,26689.0,25644.0,8677.0,22658.0,231.0,15991.0,7719.0,24606.0,15943.0,20265.0,17295.0,23834.0
Berlin,21416.0,23254.0,0.0,6479.0,3435.0,2390.0,14577.0,596.0,23023.0,39245.0,15535.0,1352.0,7311.0,2989.0,5959.0,580.0
Brandenburg,14937.0,16775.0,6479.0,0.0,9914.0,8869.0,8098.0,5883.0,16544.0,32766.0,9056.0,7831.0,832.0,3490.0,520.0,7059.0
Bremen,24851.0,26689.0,3435.0,9914.0,0.0,1045.0,18012.0,4031.0,26458.0,42680.0,18970.0,2083.0,10746.0,6424.0,9394.0,2855.0
Hamburg,23806.0,25644.0,2390.0,8869.0,1045.0,0.0,16967.0,2986.0,25413.0,41635.0,17925.0,1038.0,9701.0,5379.0,8349.0,1810.0
Hessen,6839.0,8677.0,14577.0,8098.0,18012.0,16967.0,0.0,13981.0,8446.0,24668.0,958.0,15929.0,7266.0,11588.0,8618.0,15157.0
Mecklenburg_Vorpommern,20820.0,22658.0,596.0,5883.0,4031.0,2986.0,13981.0,0.0,22427.0,38649.0,14939.0,1948.0,6715.0,2393.0,5363.0,1176.0
Niedersachsen,1607.0,231.0,23023.0,16544.0,26458.0,25413.0,8446.0,22427.0,0.0,16222.0,7488.0,24375.0,15712.0,20034.0,17064.0,23603.0
Nordrhein_Westfalen,17829.0,15991.0,39245.0,32766.0,42680.0,41635.0,24668.0,38649.0,16222.0,0.0,23710.0,40597.0,31934.0,36256.0,33286.0,39825.0
Rheinland_Pfalz,5881.0,7719.0,15535.0,9056.0,18970.0,17925.0,958.0,14939.0,7488.0,23710.0,0.0,16887.0,8224.0,12546.0,9576.0,16115.0
Saarland,22768.0,24606.0,1352.0,7831.0,2083.0,1038.0,15929.0,1948.0,24375.0,40597.0,16887.0,0.0,8663.0,4341.0,7311.0,772.0
Sachsen,14105.0,15943.0,7311.0,832.0,10746.0,9701.0,7266.0,6715.0,15712.0,31934.0,8224.0,8663.0,0.0,4322.0,1352.0,7891.0
Sachsen_Anhalt,18427.0,20265.0,2989.0,3490.0,6424.0,5379.0,11588.0,2393.0,20034.0,36256.0,12546.0,4341.0,4322.0,0.0,2970.0,3569.0
Schleswig_Holstein,15457.0,17295.0,5959.0,520.0,9394.0,8349.0,8618.0,5363.0,17064.0,33286.0,9576.0,7311.0,1352.0,2970.0,0.0,6539.0
Thüringen,21996.0,23834.0,580.0,7059.0,2855.0,1810.0,15157.0,1176.0,23603.0,39825.0,16115.0,772.0,7891.0,3569.0,6539.0,0.0
